source_id,source_name,items_added
socialmedia-ray-dalio-raydalio,Ray Dalio(@RayDalio),3
socialmedia-geoffrey-hinton-geoffreyhinton,Geoffrey Hinton(@geoffreyhinton),3
socialmedia-guillermo-rauch-rauchg,Guillermo Rauch(@rauchg),3
socialmedia-junyang-lin-justinlin610,Junyang Lin(@JustinLin610),2
socialmedia-openai-openai,OpenAI(@OpenAI),2
socialmedia-dify-dify-ai,Dify(@dify_ai),2
socialmedia-andrew-ng-andrewyng,Andrew Ng(@AndrewYNg),2
socialmedia-replicate-replicate,Replicate(@replicate),2
socialmedia-poe-poe-platform,Poe(@poe_platform),2
socialmedia-aadit-sheth-aaditsh,Aadit Sheth(@aaditsh),2
socialmedia-elevenlabs-elevenlabsio,ElevenLabs(@elevenlabsio),2
socialmedia-weaviate-vector-database-weaviate-io,Weaviate • vector database(@weaviate_io),2
socialmedia-notebooklm-notebooklm,NotebookLM(@NotebookLM),2
socialmedia-ai-sdk-aisdk,AI SDK(@aisdk),2
socialmedia-simon-willison-simonw,Simon Willison(@simonw),2
socialmedia-adam-d-angelo-adamdangelo,Adam D'Angelo(@adamdangelo),2
socialmedia-manusai-manusai-hq,ManusAI(@ManusAI_HQ),2
socialmedia-akshay-kothari-akothari,Akshay Kothari(@akothari),2
socialmedia-ak-akhaliq,AK(@_akhaliq),2
socialmedia-gary-marcus-garymarcus,Gary Marcus(@GaryMarcus),2
socialmedia-pika-pika-labs,Pika(@pika_labs),2
socialmedia-character-ai-character-ai,Character.AI(@character_ai),2
socialmedia-mustafa-suleyman-mustafasuleyman,Mustafa Suleyman(@mustafasuleyman),2
socialmedia-fellou-fellouai,Fellou(@FellouAI),2
socialmedia-xai-xai,xAI(@xai),2
socialmedia-milvus-milvusio,Milvus(@milvusio),2
socialmedia-deeplearning-ai-deeplearningai,DeepLearning.AI(@DeepLearningAI),2
socialmedia-cohere-cohere,cohere(@cohere),2
socialmedia-kevin-weil-127482-127480-kevinweil,Kevin Weil 🇺🇸(@kevinweil),2
socialmedia-julien-chaumond-julien-c,Julien Chaumond(@julien_c),2
socialmedia-meng-shao-shao-meng,meng shao(@shao__meng),2
socialmedia-fish-audio-fishaudio,Fish Audio(@FishAudio),2
socialmedia-dario-amodei-darioamodei,Dario Amodei(@DarioAmodei),2
socialmedia-cognition-cognition-labs,Cognition(@cognition_labs),2
socialmedia-windsurf-windsurf-ai,Windsurf(@windsurf_ai),2
socialmedia-thomas-wolf-thom-wolf,Thomas Wolf(@Thom_Wolf),2
socialmedia-demis-hassabis-demishassabis,Demis Hassabis(@demishassabis),2
socialmedia-google-ai-googleai,Google AI(@GoogleAI),2
socialmedia-richard-socher-richardsocher,Richard Socher(@RichardSocher),2
socialmedia-logan-kilpatrick-officiallogank,Logan Kilpatrick(@OfficialLoganK),2
socialmedia-justin-welsh-thejustinwelsh,Justin Welsh(@thejustinwelsh),2
socialmedia-aravind-srinivas-aravsrinivas,Aravind Srinivas(@AravSrinivas),2
socialmedia-cursor-cursor-ai,Cursor(@cursor_ai),2
socialmedia-kling-ai-kling-ai,Kling AI(@Kling_ai),2
